id_promocion_articulo;id_promocion;id_articulo;fecha_inicio;fecha_fin;descuento_pct;precio_promocional;motivo
PRA000492;PMO202501;ART000164;2025-01-07;2025-01-31;0.0759;240.26;Rebajas
PRA000494;PMO202501;ART000171;2025-01-07;2025-01-31;0.0764;480.26;Rebajas
PRA000497;PMO202501;ART000182;2025-01-07;2025-01-31;0.1092;276.14;Rebajas
PRA000500;PMO202501;ART000195;2025-01-07;2025-01-31;0.133;182.06;Rebajas
PRA000525;PMO202501;ART000260;2025-01-07;2025-01-31;0.1004;278.87;Rebajas
PRA000527;PMO202501;ART000264;2025-01-07;2025-01-31;0.1073;151.75;Rebajas
PRA000530;PMO202501;ART000276;2025-01-07;2025-01-31;0.1248;735.16;Rebajas
PRA000532;PMO202501;ART000281;2025-01-07;2025-01-31;0.1336;450.52;Rebajas
PRA000534;PMO202501;ART000285;2025-01-07;2025-01-31;0.1081;428.1;Rebajas
PRA000535;PMO202501;ART000286;2025-01-07;2025-01-31;0.0888;391.81;Rebajas
PRA000536;PMO202501;ART000287;2025-01-07;2025-01-31;0.0836;668.96;Rebajas
PRA000537;PMO202501;ART000289;2025-01-07;2025-01-31;0.0803;275.9;Rebajas
PRA000541;PMO202501;ART000295;2025-01-07;2025-01-31;0.1178;282.3;Rebajas
PRA000542;PMO202501;ART000297;2025-01-07;2025-01-31;0.1206;123.11;Rebajas
PRA000543;PMO202501;ART000301;2025-01-07;2025-01-31;0.0898;163.83;Rebajas
PRA000550;PMO202501;ART000321;2025-01-07;2025-01-31;0.0939;190.27;Rebajas
PRA000551;PMO202501;ART000324;2025-01-07;2025-01-31;0.1231;245.52;Rebajas
PRA000552;PMO202501;ART000326;2025-01-07;2025-01-31;0.1218;105.38;Rebajas
PRA000556;PMO202501;ART000342;2025-01-07;2025-01-31;0.1165;53.0;Rebajas
PRA000557;PMO202501;ART000348;2025-01-07;2025-01-31;0.1244;43.77;Rebajas
PRA000722;PMO202511;ART000136;2025-11-20;2025-12-02;0.2105;394.74;Black Friday
PRA000728;PMO202511;ART000154;2025-11-20;2025-12-02;0.1814;401.11;Black Friday
PRA000729;PMO202511;ART000158;2025-11-20;2025-12-02;0.2037;374.25;Black Friday
PRA000730;PMO202511;ART000161;2025-11-20;2025-12-02;0.2222;217.78;Black Friday
PRA000733;PMO202511;ART000165;2025-11-20;2025-12-02;0.2075;388.32;Black Friday
PRA000740;PMO202511;ART000181;2025-11-20;2025-12-02;0.2016;223.54;Black Friday
PRA000744;PMO202511;ART000195;2025-11-20;2025-12-02;0.1967;168.68;Black Friday
PRA000747;PMO202511;ART000203;2025-11-20;2025-12-02;0.2009;279.68;Black Friday
PRA000771;PMO202511;ART000256;2025-11-20;2025-12-02;0.1813;163.73;Black Friday
PRA000776;PMO202511;ART000278;2025-11-20;2025-12-02;0.2182;320.53;Black Friday
PRA000778;PMO202511;ART000286;2025-11-20;2025-12-02;0.1784;353.28;Black Friday
PRA000781;PMO202511;ART000295;2025-11-20;2025-12-02;0.2054;254.26;Black Friday
PRA000782;PMO202511;ART000297;2025-11-20;2025-12-02;0.2063;111.11;Black Friday
PRA000784;PMO202511;ART000301;2025-11-20;2025-12-02;0.1703;149.34;Black Friday
PRA000793;PMO202511;ART000318;2025-11-20;2025-12-02;0.2056;579.9;Black Friday
PRA000794;PMO202511;ART000319;2025-11-20;2025-12-02;0.1805;565.45;Black Friday
PRA000796;PMO202511;ART000324;2025-11-20;2025-12-02;0.2237;217.36;Black Friday
PRA000797;PMO202511;ART000326;2025-11-20;2025-12-02;0.1768;98.78;Black Friday
PRA000807;PMO202511;ART000341;2025-11-20;2025-12-02;0.2074;31.7;Black Friday
PRA000809;PMO202511;ART000344;2025-11-20;2025-12-02;0.2095;134.38;Black Friday
PRA000812;PMO202511;ART000351;2025-11-20;2025-12-02;0.1997;416.15;Black Friday
PRA000817;PMO202511;ART000360;2025-11-20;2025-12-02;0.1868;577.36;Black Friday
PRA000822;PMO202512;ART000136;2025-12-10;2025-12-24;0.102;448.99;Navidad
PRA000823;PMO202512;ART000137;2025-12-10;2025-12-24;0.0797;708.62;Navidad
PRA000827;PMO202512;ART000145;2025-12-10;2025-12-24;0.0726;463.69;Navidad
PRA000828;PMO202512;ART000146;2025-12-10;2025-12-24;0.0622;825.25;Navidad
PRA000830;PMO202512;ART000154;2025-12-10;2025-12-24;0.0994;441.28;Navidad
PRA000836;PMO202512;ART000165;2025-12-10;2025-12-24;0.1008;440.6;Navidad
PRA000840;PMO202512;ART000171;2025-12-10;2025-12-24;0.0726;482.24;Navidad
PRA000842;PMO202512;ART000177;2025-12-10;2025-12-24;0.0877;200.7;Navidad
PRA000847;PMO202512;ART000203;2025-12-10;2025-12-24;0.0924;317.65;Navidad
PRA000852;PMO202512;ART000318;2025-12-10;2025-12-24;0.0719;677.5;Navidad
PRA000853;PMO202512;ART000319;2025-12-10;2025-12-24;0.1041;618.16;Navidad
PRA000860;PMO202512;ART000342;2025-12-10;2025-12-24;0.0621;56.26;Navidad
PRA000861;PMO202512;ART000344;2025-12-10;2025-12-24;0.1138;150.65;Navidad
PRA000863;PMO202512;ART000348;2025-12-10;2025-12-24;0.0949;45.25;Navidad
PRA000866;PMO202512;ART000360;2025-12-10;2025-12-24;0.0965;641.48;Navidad
