id_fecha;fecha;anio;trimestre;mes_numero;mes_nombre;dia_mes
20241113;2024-11-13;2024;Q4;11;Noviembre;13
20241116;2024-11-16;2024;Q4;11;Noviembre;16
20241120;2024-11-20;2024;Q4;11;Noviembre;20
20241125;2024-11-25;2024;Q4;11;Noviembre;25
20241128;2024-11-28;2024;Q4;11;Noviembre;28
20241201;2024-12-01;2024;Q4;12;Diciembre;1
20241202;2024-12-02;2024;Q4;12;Diciembre;2
20241213;2024-12-13;2024;Q4;12;Diciembre;13
20241215;2024-12-15;2024;Q4;12;Diciembre;15
20241222;2024-12-22;2024;Q4;12;Diciembre;22
20241225;2024-12-25;2024;Q4;12;Diciembre;25
20241226;2024-12-26;2024;Q4;12;Diciembre;26
20241231;2024-12-31;2024;Q4;12;Diciembre;31
20250103;2025-01-03;2025;Q1;1;Enero;3
20250112;2025-01-12;2025;Q1;1;Enero;12
20250116;2025-01-16;2025;Q1;1;Enero;16
20250118;2025-01-18;2025;Q1;1;Enero;18
20250206;2025-02-06;2025;Q1;2;Febrero;6
20250213;2025-02-13;2025;Q1;2;Febrero;13
20250214;2025-02-14;2025;Q1;2;Febrero;14
20250216;2025-02-16;2025;Q1;2;Febrero;16
20250307;2025-03-07;2025;Q1;3;Marzo;7
20250314;2025-03-14;2025;Q1;3;Marzo;14
20250328;2025-03-28;2025;Q1;3;Marzo;28
20250401;2025-04-01;2025;Q2;4;Abril;1
20250404;2025-04-04;2025;Q2;4;Abril;4
20250412;2025-04-12;2025;Q2;4;Abril;12
20250428;2025-04-28;2025;Q2;4;Abril;28
20250502;2025-05-02;2025;Q2;5;Mayo;2
20250508;2025-05-08;2025;Q2;5;Mayo;8
20250510;2025-05-10;2025;Q2;5;Mayo;10
20250514;2025-05-14;2025;Q2;5;Mayo;14
20250516;2025-05-16;2025;Q2;5;Mayo;16
20250527;2025-05-27;2025;Q2;5;Mayo;27
20250602;2025-06-02;2025;Q2;6;Junio;2
20250607;2025-06-07;2025;Q2;6;Junio;7
20250609;2025-06-09;2025;Q2;6;Junio;9
20250614;2025-06-14;2025;Q2;6;Junio;14
20250624;2025-06-24;2025;Q2;6;Junio;24
20250705;2025-07-05;2025;Q3;7;Julio;5
20250706;2025-07-06;2025;Q3;7;Julio;6
20250708;2025-07-08;2025;Q3;7;Julio;8
20250709;2025-07-09;2025;Q3;7;Julio;9
20250711;2025-07-11;2025;Q3;7;Julio;11
20250714;2025-07-14;2025;Q3;7;Julio;14
20250724;2025-07-24;2025;Q3;7;Julio;24
20250729;2025-07-29;2025;Q3;7;Julio;29
20250804;2025-08-04;2025;Q3;8;Agosto;4
20250807;2025-08-07;2025;Q3;8;Agosto;7
20250808;2025-08-08;2025;Q3;8;Agosto;8
20250812;2025-08-12;2025;Q3;8;Agosto;12
20250817;2025-08-17;2025;Q3;8;Agosto;17
20250823;2025-08-23;2025;Q3;8;Agosto;23
20250905;2025-09-05;2025;Q3;9;Septiembre;5
20250909;2025-09-09;2025;Q3;9;Septiembre;9
20250911;2025-09-11;2025;Q3;9;Septiembre;11
20250927;2025-09-27;2025;Q3;9;Septiembre;27
20250930;2025-09-30;2025;Q3;9;Septiembre;30
20251003;2025-10-03;2025;Q4;10;Octubre;3
20251004;2025-10-04;2025;Q4;10;Octubre;4
20251006;2025-10-06;2025;Q4;10;Octubre;6
20251010;2025-10-10;2025;Q4;10;Octubre;10
20251015;2025-10-15;2025;Q4;10;Octubre;15
20251103;2025-11-03;2025;Q4;11;Noviembre;3
20251104;2025-11-04;2025;Q4;11;Noviembre;4
20251107;2025-11-07;2025;Q4;11;Noviembre;7
20251110;2025-11-10;2025;Q4;11;Noviembre;10
20251112;2025-11-12;2025;Q4;11;Noviembre;12
20251115;2025-11-15;2025;Q4;11;Noviembre;15
20251118;2025-11-18;2025;Q4;11;Noviembre;18
20251121;2025-11-21;2025;Q4;11;Noviembre;21
20251123;2025-11-23;2025;Q4;11;Noviembre;23
20251124;2025-11-24;2025;Q4;11;Noviembre;24
20251128;2025-11-28;2025;Q4;11;Noviembre;28
20251204;2025-12-04;2025;Q4;12;Diciembre;4
20251209;2025-12-09;2025;Q4;12;Diciembre;9
20251211;2025-12-11;2025;Q4;12;Diciembre;11
20251212;2025-12-12;2025;Q4;12;Diciembre;12
20251219;2025-12-19;2025;Q4;12;Diciembre;19
20251220;2025-12-20;2025;Q4;12;Diciembre;20
20251226;2025-12-26;2025;Q4;12;Diciembre;26
20260102;2026-01-02;2026;Q1;1;Enero;2
20260115;2026-01-15;2026;Q1;1;Enero;15
20260118;2026-01-18;2026;Q1;1;Enero;18
20260123;2026-01-23;2026;Q1;1;Enero;23
20260209;2026-02-09;2026;Q1;2;Febrero;9
20260211;2026-02-11;2026;Q1;2;Febrero;11
20260212;2026-02-12;2026;Q1;2;Febrero;12
20260213;2026-02-13;2026;Q1;2;Febrero;13
20260217;2026-02-17;2026;Q1;2;Febrero;17
20260220;2026-02-20;2026;Q1;2;Febrero;20
20260224;2026-02-24;2026;Q1;2;Febrero;24
20260228;2026-02-28;2026;Q1;2;Febrero;28
20260301;2026-03-01;2026;Q1;3;Marzo;1
20260303;2026-03-03;2026;Q1;3;Marzo;3
20260307;2026-03-07;2026;Q1;3;Marzo;7
20260312;2026-03-12;2026;Q1;3;Marzo;12
20260314;2026-03-14;2026;Q1;3;Marzo;14
20260317;2026-03-17;2026;Q1;3;Marzo;17
20260318;2026-03-18;2026;Q1;3;Marzo;18
20260320;2026-03-20;2026;Q1;3;Marzo;20
20260324;2026-03-24;2026;Q1;3;Marzo;24
20260325;2026-03-25;2026;Q1;3;Marzo;25
20260416;2026-04-16;2026;Q2;4;Abril;16
20260418;2026-04-18;2026;Q2;4;Abril;18
20260424;2026-04-24;2026;Q2;4;Abril;24
20260426;2026-04-26;2026;Q2;4;Abril;26
20260510;2026-05-10;2026;Q2;5;Mayo;10
20260515;2026-05-15;2026;Q2;5;Mayo;15
20260519;2026-05-19;2026;Q2;5;Mayo;19
20260523;2026-05-23;2026;Q2;5;Mayo;23
20260528;2026-05-28;2026;Q2;5;Mayo;28
20260601;2026-06-01;2026;Q2;6;Junio;1
20260611;2026-06-11;2026;Q2;6;Junio;11
