id_venta,id_linea_venta,id_fecha,fecha_venta,id_usuario,id_articulo,id_canal,id_promocion,unidades,precio_lista_unitario,descuento_pct,importe_descuento,precio_unitario_final,importe_bruto,importe_neto,iva_pct,importe_iva,importe_total,coste_unitario,margen_bruto,metodo_pago,estado_venta
VTA0000019,VTA0000019-01,20240410,2024-04-10 00:00:00,USR_NO_REG,ART000350,CAN001,SIN_PROMO,1,269.99,0.0,0.0,269.99,269.99,269.99,0.21,56.7,326.69,182.1,87.89,Financiacion,Completada
VTA0000020,VTA0000020-01,20240411,2024-04-11 00:00:00,USR_NO_REG,ART000285,CAN004,SIN_PROMO,2,479.99,0.0,0.0,479.99,959.98,959.98,0.21,201.6,1161.58,323.8,312.38,PayPal,Completada
VTA0000021,VTA0000021-01,20240411,2024-04-11 00:00:00,USR_NO_REG,ART000306,CAN001,SIN_PROMO,1,299.99,0.0,0.0,299.99,299.99,299.99,0.21,63.0,362.99,188.84,111.15,Financiacion,Cancelada
VTA0000022,VTA0000022-01,20240418,2024-04-18 00:00:00,USR_NO_REG,ART000136,CAN004,SIN_PROMO,1,499.99,0.0,0.0,499.99,499.99,499.99,0.21,105.0,604.99,350.26,149.73,Tarjeta,Devuelta
VTA0000023,VTA0000023-01,20240422,2024-04-22 00:00:00,USR_NO_REG,ART000360,CAN002,SIN_PROMO,1,709.99,0.03,21.3,688.69,709.99,688.69,0.21,144.62,833.31,425.1,263.59,Efectivo,Completada
VTA0000024,VTA0000024-01,20240429,2024-04-29 00:00:00,USR_NO_REG,ART000142,CAN001,SIN_PROMO,1,599.99,0.0,0.0,599.99,599.99,599.99,0.21,126.0,725.99,424.76,175.23,Bizum,Completada
VTA0000025,VTA0000025-01,20240501,2024-05-01 00:00:00,USR_NO_REG,ART000296,CAN003,SIN_PROMO,1,219.99,0.0,0.0,219.99,219.99,219.99,0.21,46.2,266.19,151.93,68.06,Transferencia,Completada
VTA0000026,VTA0000026-01,20240502,2024-05-02 00:00:00,USR_NO_REG,ART000191,CAN003,SIN_PROMO,1,469.99,0.0,0.0,469.99,469.99,469.99,0.21,98.7,568.69,294.01,175.98,Tarjeta,Completada
VTA0000027,VTA0000027-01,20240503,2024-05-03 00:00:00,USR_NO_REG,ART000145,CAN004,SIN_PROMO,1,499.99,0.0,0.0,499.99,499.99,499.99,0.21,105.0,604.99,295.0,204.99,Bizum,Completada
VTA0000028,VTA0000028-01,20240505,2024-05-05 00:00:00,USR_NO_REG,ART000260,CAN003,SIN_PROMO,1,309.99,0.0,0.0,309.99,309.99,309.99,0.21,65.1,375.09,173.46,136.53,Tarjeta,Completada
VTA0000029,VTA0000029-01,20240513,2024-05-13 00:00:00,USR_NO_REG,ART000146,CAN005,SIN_PROMO,1,879.99,0.0,0.0,879.99,879.99,879.99,0.21,184.8,1064.79,587.38,292.61,Transferencia,Completada
VTA0000030,VTA0000030-01,20240516,2024-05-16 00:00:00,USR_NO_REG,ART000319,CAN002,SIN_PROMO,1,689.99,0.03,20.7,669.29,689.99,669.29,0.21,140.55,809.84,492.29,177.0,Transferencia,Completada
VTA0000031,VTA0000031-01,20240518,2024-05-18 00:00:00,USR_NO_REG,ART000188,CAN001,SIN_PROMO,1,159.99,0.0,0.0,159.99,159.99,159.99,0.21,33.6,193.59,95.38,64.61,Financiacion,Completada
VTA0000032,VTA0000032-01,20240529,2024-05-29 00:00:00,USR_NO_REG,ART000161,CAN003,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,191.55,88.44,Tarjeta,Completada
VTA0000033,VTA0000033-01,20240607,2024-06-07 00:00:00,USR_NO_REG,ART000154,CAN007,SIN_PROMO,1,489.99,0.0,0.0,489.99,489.99,489.99,0.21,102.9,592.89,294.8,195.19,Bizum,Completada
VTA0000034,VTA0000034-01,20240613,2024-06-13 00:00:00,USR_NO_REG,ART000348,CAN001,SIN_PROMO,1,49.99,0.0,0.0,49.99,49.99,49.99,0.21,10.5,60.49,33.44,16.55,Transferencia,Completada
VTA0000035,VTA0000035-01,20240614,2024-06-14 00:00:00,USR003016,ART000276,CAN007,SIN_PROMO,1,839.99,0.0,0.0,839.99,839.99,839.99,0.21,176.4,1016.39,590.19,249.8,PayPal,Completada
VTA0000036,VTA0000036-01,20240616,2024-06-16 00:00:00,USR_NO_REG,ART000171,CAN001,SIN_PROMO,1,519.99,0.0,0.0,519.99,519.99,519.99,0.21,109.2,629.19,353.55,166.44,PayPal,Completada
VTA0000037,VTA0000037-01,20240625,2024-06-25 00:00:00,USR_NO_REG,ART000342,CAN001,SIN_PROMO,1,59.99,0.0,0.0,59.99,59.99,59.99,0.21,12.6,72.59,32.69,27.3,Bizum,Completada
VTA0000038,VTA0000038-01,20240627,2024-06-27 00:00:00,USR_NO_REG,ART000350,CAN001,SIN_PROMO,1,269.99,0.0,0.0,269.99,269.99,269.99,0.21,56.7,326.69,182.1,87.89,Bizum,Completada
VTA0000039,VTA0000039-01,20240628,2024-06-28 00:00:00,USR_NO_REG,ART000344,CAN002,SIN_PROMO,1,169.99,0.0,0.0,169.99,169.99,169.99,0.21,35.7,205.69,118.23,51.76,Efectivo,Completada
VTA0000040,VTA0000040-01,20240708,2024-07-08 00:00:00,USR_NO_REG,ART000191,CAN001,SIN_PROMO,1,469.99,0.0,0.0,469.99,469.99,469.99,0.21,98.7,568.69,294.01,175.98,Tarjeta,Completada
VTA0000041,VTA0000041-01,20240709,2024-07-09 00:00:00,USR_NO_REG,ART000203,CAN001,SIN_PROMO,1,349.99,0.0,0.0,349.99,349.99,349.99,0.21,73.5,423.49,192.67,157.32,Bizum,Completada
VTA0000042,VTA0000042-01,20240719,2024-07-19 00:00:00,USR_NO_REG,ART000295,CAN003,SIN_PROMO,1,319.99,0.0,0.0,319.99,319.99,319.99,0.21,67.2,387.19,215.11,104.88,Tarjeta,Completada
VTA0000043,VTA0000043-01,20240722,2024-07-22 00:00:00,USR_NO_REG,ART000171,CAN002,SIN_PROMO,1,519.99,0.07,36.4,483.59,519.99,483.59,0.21,101.55,585.14,353.55,130.04,Tarjeta,Completada
VTA0000044,VTA0000044-01,20240731,2024-07-31 00:00:00,USR_NO_REG,ART000321,CAN001,SIN_PROMO,1,209.99,0.0,0.0,209.99,209.99,209.99,0.21,44.1,254.09,148.76,61.23,PayPal,Completada
VTA0000045,VTA0000045-01,20240805,2024-08-05 00:00:00,USR_NO_REG,ART000360,CAN007,SIN_PROMO,1,709.99,0.0,0.0,709.99,709.99,709.99,0.21,149.1,859.09,425.1,284.89,Tarjeta,Completada
VTA0000046,VTA0000046-01,20240811,2024-08-11 00:00:00,USR_NO_REG,ART000296,CAN001,SIN_PROMO,1,219.99,0.0,0.0,219.99,219.99,219.99,0.21,46.2,266.19,151.93,68.06,Tarjeta,Completada
VTA0000047,VTA0000047-01,20240813,2024-08-13 00:00:00,USR_NO_REG,ART000297,CAN005,SIN_PROMO,1,139.99,0.0,0.0,139.99,139.99,139.99,0.21,29.4,169.39,84.2,55.79,Tarjeta,Completada
VTA0000048,VTA0000048-01,20240814,2024-08-14 00:00:00,USR_NO_REG,ART000348,CAN005,SIN_PROMO,1,49.99,0.0,0.0,49.99,49.99,49.99,0.21,10.5,60.49,33.44,16.55,Tarjeta,Completada
VTA0000049,VTA0000049-01,20240814,2024-08-14 00:00:00,USR_NO_REG,ART000350,CAN002,SIN_PROMO,2,269.99,0.0,0.0,269.99,539.98,539.98,0.21,113.4,653.38,182.1,175.78,Bizum,Completada
VTA0000050,VTA0000050-01,20240821,2024-08-21 00:00:00,USR_NO_REG,ART000168,CAN003,SIN_PROMO,1,659.99,0.0,0.0,659.99,659.99,659.99,0.21,138.6,798.59,368.11,291.88,Tarjeta,Completada
VTA0000051,VTA0000051-01,20240825,2024-08-25 00:00:00,USR_NO_REG,ART000342,CAN001,SIN_PROMO,1,59.99,0.0,0.0,59.99,59.99,59.99,0.21,12.6,72.59,32.69,27.3,Tarjeta,Completada
VTA0000052,VTA0000052-01,20240826,2024-08-26 00:00:00,USR_NO_REG,ART000161,CAN001,SIN_PROMO,2,279.99,0.0,0.0,279.99,559.98,559.98,0.21,117.6,677.58,191.55,176.88,Tarjeta,Completada
VTA0000053,VTA0000053-01,20240903,2024-09-03 00:00:00,USR_NO_REG,ART000136,CAN005,SIN_PROMO,1,499.99,0.0,0.0,499.99,499.99,499.99,0.21,105.0,604.99,350.26,149.73,Bizum,Completada
VTA0000054,VTA0000054-01,20240918,2024-09-18 00:00:00,USR_NO_REG,ART000177,CAN002,SIN_PROMO,1,219.99,0.0,0.0,219.99,219.99,219.99,0.21,46.2,266.19,143.73,76.26,Tarjeta,Completada
VTA0000055,VTA0000055-01,20240920,2024-09-20 00:00:00,USR018657,ART000324,CAN007,SIN_PROMO,3,279.99,0.0,0.0,279.99,839.97,839.97,0.21,176.39,1016.36,181.61,295.14,Tarjeta,Devuelta
VTA0000056,VTA0000056-01,20240920,2024-09-20 00:00:00,USR_NO_REG,ART000158,CAN004,SIN_PROMO,1,469.99,0.0,0.0,469.99,469.99,469.99,0.21,98.7,568.69,326.68,143.31,Tarjeta,Completada
VTA0000057,VTA0000057-01,20240922,2024-09-22 00:00:00,USR_NO_REG,ART000296,CAN001,SIN_PROMO,1,219.99,0.0,0.0,219.99,219.99,219.99,0.21,46.2,266.19,151.93,68.06,Financiacion,Completada
VTA0000058,VTA0000058-01,20241001,2024-10-01 00:00:00,USR_NO_REG,ART000276,CAN002,SIN_PROMO,2,839.99,0.0,0.0,839.99,1679.98,1679.98,0.21,352.8,2032.78,590.19,499.6,Transferencia,Completada
VTA0000059,VTA0000059-01,20241008,2024-10-08 00:00:00,USR_NO_REG,ART000278,CAN002,SIN_PROMO,1,409.99,0.03,12.3,397.69,409.99,397.69,0.21,83.51,481.2,235.87,161.82,Bizum,Completada
VTA0000060,VTA0000060-01,20241028,2024-10-28 00:00:00,USR_NO_REG,ART000306,CAN001,SIN_PROMO,1,299.99,0.0,0.0,299.99,299.99,299.99,0.21,63.0,362.99,188.84,111.15,PayPal,Completada
VTA0000061,VTA0000061-01,20241031,2024-10-31 00:00:00,USR010552,ART000287,CAN007,SIN_PROMO,1,729.99,0.0,0.0,729.99,729.99,729.99,0.21,153.3,883.29,438.2,291.79,Tarjeta,Completada
VTA0000062,VTA0000062-01,20241102,2024-11-02 00:00:00,USR_NO_REG,ART000324,CAN001,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,181.61,98.38,Financiacion,Completada
VTA0000063,VTA0000063-01,20241111,2024-11-11 00:00:00,USR_NO_REG,ART000295,CAN005,SIN_PROMO,1,319.99,0.0,0.0,319.99,319.99,319.99,0.21,67.2,387.19,215.11,104.88,Bizum,Completada
VTA0000064,VTA0000064-01,20241112,2024-11-12 00:00:00,USR_NO_REG,ART000171,CAN001,SIN_PROMO,3,519.99,0.0,0.0,519.99,1559.97,1559.97,0.21,327.59,1887.56,353.55,499.32,Bizum,Completada
VTA0000065,VTA0000065-01,20241113,2024-11-13 00:00:00,USR_NO_REG,ART000297,CAN001,SIN_PROMO,1,139.99,0.0,0.0,139.99,139.99,139.99,0.21,29.4,169.39,84.2,55.79,Tarjeta,Completada
VTA0000066,VTA0000066-01,20241116,2024-11-16 00:00:00,USR_NO_REG,ART000260,CAN001,SIN_PROMO,1,309.99,0.0,0.0,309.99,309.99,309.99,0.21,65.1,375.09,173.46,136.53,Efectivo,Completada
VTA0000067,VTA0000067-01,20241120,2024-11-20 00:00:00,USR_NO_REG,ART000156,CAN007,SIN_PROMO,1,619.99,0.0,0.0,619.99,619.99,619.99,0.21,130.2,750.19,445.75,174.24,Tarjeta,Completada
VTA0000068,VTA0000068-01,20241125,2024-11-25 00:00:00,USR_NO_REG,ART000158,CAN001,PMO202411,2,469.99,0.1688,158.67,390.66,939.98,781.31,0.21,164.08,945.39,326.68,127.95,PayPal,Completada
VTA0000069,VTA0000069-01,20241128,2024-11-28 00:00:00,USR_NO_REG,ART000161,CAN002,PMO202411,1,279.99,0.1668,46.7,233.29,279.99,233.29,0.21,48.99,282.28,191.55,41.74,PayPal,Completada
VTA0000070,VTA0000070-01,20241128,2024-11-28 00:00:00,USR_NO_REG,ART000161,CAN005,PMO202411,1,279.99,0.1668,46.7,233.29,279.99,233.29,0.21,48.99,282.28,191.55,41.74,Tarjeta,Completada
VTA0000071,VTA0000071-01,20241128,2024-11-28 00:00:00,USR_NO_REG,ART000321,CAN001,PMO202411,1,209.99,0.196,41.16,168.83,209.99,168.83,0.21,35.45,204.28,148.76,20.07,Tarjeta,Completada
VTA0000072,VTA0000072-01,20241201,2024-12-01 00:00:00,USR_NO_REG,ART000342,CAN002,SIN_PROMO,1,59.99,0.0,0.0,59.99,59.99,59.99,0.21,12.6,72.59,32.69,27.3,PayPal,Completada
VTA0000073,VTA0000073-01,20241202,2024-12-02 00:00:00,USR_NO_REG,ART000264,CAN007,SIN_PROMO,1,169.99,0.0,0.0,169.99,169.99,169.99,0.21,35.7,205.69,105.35,64.64,PayPal,Completada
VTA0000074,VTA0000074-01,20241213,2024-12-13 00:00:00,USR_NO_REG,ART000348,CAN001,SIN_PROMO,1,49.99,0.0,0.0,49.99,49.99,49.99,0.21,10.5,60.49,33.44,16.55,Efectivo,Completada
VTA0000075,VTA0000075-01,20241215,2024-12-15 00:00:00,USR_NO_REG,ART000182,CAN004,PMO202412,1,309.99,0.0991,30.72,279.27,309.99,279.27,0.21,58.65,337.92,196.36,82.91,Tarjeta,Completada
VTA0000076,VTA0000076-01,20241215,2024-12-15 00:00:00,USR_NO_REG,ART000256,CAN001,SIN_PROMO,1,199.99,0.0,0.0,199.99,199.99,199.99,0.21,42.0,241.99,127.82,72.17,Tarjeta,Completada
VTA0000077,VTA0000077-01,20241222,2024-12-22 00:00:00,USR_NO_REG,ART000319,CAN007,SIN_PROMO,1,689.99,0.0,0.0,689.99,689.99,689.99,0.21,144.9,834.89,492.29,197.7,Tarjeta,Completada
VTA0000078,VTA0000078-01,20241225,2024-12-25 00:00:00,USR_NO_REG,ART000289,CAN007,SIN_PROMO,2,299.99,0.03,18.0,290.99,599.98,581.98,0.21,122.22,704.2,179.99,222.0,PayPal,Completada
VTA0000079,VTA0000079-01,20241226,2024-12-26 00:00:00,USR_NO_REG,ART000278,CAN002,SIN_PROMO,1,409.99,0.0,0.0,409.99,409.99,409.99,0.21,86.1,496.09,235.87,174.12,Tarjeta,Completada
VTA0000080,VTA0000080-01,20241231,2024-12-31 00:00:00,USR_NO_REG,ART000193,CAN003,SIN_PROMO,1,419.99,0.0,0.0,419.99,419.99,419.99,0.21,88.2,508.19,286.63,133.36,Tarjeta,Completada
VTA0000081,VTA0000081-01,20250103,2025-01-03 00:00:00,USR_NO_REG,ART000294,CAN004,SIN_PROMO,1,179.99,0.0,0.0,179.99,179.99,179.99,0.21,37.8,217.79,102.38,77.61,Tarjeta,Completada
VTA0000082,VTA0000082-01,20250112,2025-01-12 00:00:00,USR_NO_REG,ART000188,CAN004,SIN_PROMO,1,159.99,0.0,0.0,159.99,159.99,159.99,0.21,33.6,193.59,95.38,64.61,Tarjeta,Completada
VTA0000083,VTA0000083-01,20250116,2025-01-16 00:00:00,USR_NO_REG,ART000164,CAN002,PMO202501,1,259.99,0.0759,19.73,240.26,259.99,240.26,0.21,50.45,290.71,167.02,73.24,Tarjeta,Completada
VTA0000084,VTA0000084-01,20250118,2025-01-18 00:00:00,USR_NO_REG,ART000299,CAN004,SIN_PROMO,1,109.99,0.0,0.0,109.99,109.99,109.99,0.21,23.1,133.09,62.54,47.45,Bizum,Completada
VTA0000085,VTA0000085-01,20250118,2025-01-18 00:00:00,USR_NO_REG,ART000350,CAN002,SIN_PROMO,1,269.99,0.0,0.0,269.99,269.99,269.99,0.21,56.7,326.69,182.1,87.89,PayPal,Completada
VTA0000086,VTA0000086-01,20250206,2025-02-06 00:00:00,USR_NO_REG,ART000168,CAN007,SIN_PROMO,1,659.99,0.0,0.0,659.99,659.99,659.99,0.21,138.6,798.59,368.11,291.88,Transferencia,Completada
VTA0000087,VTA0000087-01,20250206,2025-02-06 00:00:00,USR_NO_REG,ART000350,CAN007,SIN_PROMO,1,269.99,0.0,0.0,269.99,269.99,269.99,0.21,56.7,326.69,182.1,87.89,Tarjeta,Completada
VTA0000088,VTA0000088-01,20250213,2025-02-13 00:00:00,USR_NO_REG,ART000168,CAN002,SIN_PROMO,1,659.99,0.03,19.8,640.19,659.99,640.19,0.21,134.44,774.63,368.11,272.08,Tarjeta,Completada
VTA0000089,VTA0000089-01,20250214,2025-02-14 00:00:00,USR_NO_REG,ART000278,CAN002,SIN_PROMO,1,409.99,0.03,12.3,397.69,409.99,397.69,0.21,83.51,481.2,235.87,161.82,Tarjeta,Completada
VTA0000090,VTA0000090-01,20250216,2025-02-16 00:00:00,USR_NO_REG,ART000285,CAN001,SIN_PROMO,2,479.99,0.0,0.0,479.99,959.98,959.98,0.21,201.6,1161.58,323.8,312.38,Tarjeta,Completada
VTA0000091,VTA0000091-01,20250307,2025-03-07 00:00:00,USR_NO_REG,ART000344,CAN001,SIN_PROMO,1,169.99,0.0,0.0,169.99,169.99,169.99,0.21,35.7,205.69,118.23,51.76,Transferencia,Completada
VTA0000092,VTA0000092-01,20250314,2025-03-14 00:00:00,USR_NO_REG,ART000318,CAN005,SIN_PROMO,1,729.99,0.0,0.0,729.99,729.99,729.99,0.21,153.3,883.29,494.11,235.88,Financiacion,Completada
VTA0000093,VTA0000093-01,20250328,2025-03-28 00:00:00,USR_NO_REG,ART000195,CAN001,SIN_PROMO,1,209.99,0.0,0.0,209.99,209.99,209.99,0.21,44.1,254.09,135.02,74.97,Tarjeta,Completada
VTA0000094,VTA0000094-01,20250401,2025-04-01 00:00:00,USR_NO_REG,ART000191,CAN002,SIN_PROMO,1,469.99,0.0,0.0,469.99,469.99,469.99,0.21,98.7,568.69,294.01,175.98,Tarjeta,Completada
VTA0000095,VTA0000095-01,20250404,2025-04-04 00:00:00,USR_NO_REG,ART000286,CAN007,SIN_PROMO,1,429.99,0.05,21.5,408.49,429.99,408.49,0.21,85.78,494.27,289.95,118.54,PayPal,Completada
VTA0000096,VTA0000096-01,20250404,2025-04-04 00:00:00,USR_NO_REG,ART000324,CAN001,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,181.61,98.38,Tarjeta,Completada
VTA0000097,VTA0000097-01,20250412,2025-04-12 00:00:00,USR_NO_REG,ART000156,CAN001,SIN_PROMO,1,619.99,0.0,0.0,619.99,619.99,619.99,0.21,130.2,750.19,445.75,174.24,Tarjeta,Completada
VTA0000098,VTA0000098-01,20250428,2025-04-28 00:00:00,USR_NO_REG,ART000151,CAN005,SIN_PROMO,1,769.99,0.0,0.0,769.99,769.99,769.99,0.21,161.7,931.69,526.96,243.03,Tarjeta,Completada
VTA0000099,VTA0000099-01,20250428,2025-04-28 00:00:00,USR_NO_REG,ART000172,CAN003,SIN_PROMO,1,599.99,0.05,30.0,569.99,599.99,569.99,0.21,119.7,689.69,394.91,175.08,Tarjeta,Completada
VTA0000100,VTA0000100-01,20250502,2025-05-02 00:00:00,USR_NO_REG,ART000168,CAN001,SIN_PROMO,1,659.99,0.0,0.0,659.99,659.99,659.99,0.21,138.6,798.59,368.11,291.88,PayPal,Completada
VTA0000101,VTA0000101-01,20250508,2025-05-08 00:00:00,USR_NO_REG,ART000253,CAN002,SIN_PROMO,1,119.99,0.0,0.0,119.99,119.99,119.99,0.21,25.2,145.19,66.3,53.69,Tarjeta,Completada
VTA0000102,VTA0000102-01,20250510,2025-05-10 00:00:00,USR_NO_REG,ART000297,CAN001,SIN_PROMO,1,139.99,0.0,0.0,139.99,139.99,139.99,0.21,29.4,169.39,84.2,55.79,Tarjeta,Completada
VTA0000103,VTA0000103-01,20250514,2025-05-14 00:00:00,USR_NO_REG,ART000191,CAN007,SIN_PROMO,1,469.99,0.0,0.0,469.99,469.99,469.99,0.21,98.7,568.69,294.01,175.98,Tarjeta,Completada
VTA0000104,VTA0000104-01,20250516,2025-05-16 00:00:00,USR_NO_REG,ART000203,CAN001,SIN_PROMO,1,349.99,0.0,0.0,349.99,349.99,349.99,0.21,73.5,423.49,192.67,157.32,Bizum,Completada
VTA0000105,VTA0000105-01,20250527,2025-05-27 00:00:00,USR_NO_REG,ART000296,CAN004,SIN_PROMO,1,219.99,0.0,0.0,219.99,219.99,219.99,0.21,46.2,266.19,151.93,68.06,Tarjeta,Completada
VTA0000106,VTA0000106-01,20250602,2025-06-02 00:00:00,USR_NO_REG,ART000285,CAN002,SIN_PROMO,1,479.99,0.0,0.0,479.99,479.99,479.99,0.21,100.8,580.79,323.8,156.19,Efectivo,Completada
VTA0000107,VTA0000107-01,20250607,2025-06-07 00:00:00,USR_NO_REG,ART000199,CAN005,SIN_PROMO,1,299.99,0.0,0.0,299.99,299.99,299.99,0.21,63.0,362.99,177.45,122.54,Tarjeta,Completada
VTA0000108,VTA0000108-01,20250609,2025-06-09 00:00:00,USR_NO_REG,ART000142,CAN005,SIN_PROMO,1,599.99,0.0,0.0,599.99,599.99,599.99,0.21,126.0,725.99,424.76,175.23,Tarjeta,Devuelta
VTA0000109,VTA0000109-01,20250614,2025-06-14 00:00:00,USR_NO_REG,ART000171,CAN007,SIN_PROMO,2,519.99,0.0,0.0,519.99,1039.98,1039.98,0.21,218.4,1258.38,353.55,332.88,Tarjeta,Completada
VTA0000110,VTA0000110-01,20250624,2025-06-24 00:00:00,USR_NO_REG,ART000161,CAN002,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,191.55,88.44,Tarjeta,Completada
VTA0000111,VTA0000111-01,20250705,2025-07-05 00:00:00,USR_NO_REG,ART000181,CAN007,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,151.85,128.14,Bizum,Completada
VTA0000112,VTA0000112-01,20250705,2025-07-05 00:00:00,USR_NO_REG,ART000269,CAN007,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,182.18,97.81,PayPal,Completada
VTA0000113,VTA0000113-01,20250705,2025-07-05 00:00:00,USR_NO_REG,ART000297,CAN003,SIN_PROMO,1,139.99,0.0,0.0,139.99,139.99,139.99,0.21,29.4,169.39,84.2,55.79,Tarjeta,Completada
VTA0000114,VTA0000114-01,20250706,2025-07-06 00:00:00,USR012286,ART000195,CAN004,SIN_PROMO,2,209.99,0.0,0.0,209.99,419.98,419.98,0.21,88.2,508.18,135.02,149.94,PayPal,Completada
VTA0000115,VTA0000115-01,20250708,2025-07-08 00:00:00,USR_NO_REG,ART000350,CAN007,SIN_PROMO,1,269.99,0.0,0.0,269.99,269.99,269.99,0.21,56.7,326.69,182.1,87.89,Tarjeta,Completada
VTA0000116,VTA0000116-01,20250709,2025-07-09 00:00:00,USR_NO_REG,ART000158,CAN005,SIN_PROMO,1,469.99,0.0,0.0,469.99,469.99,469.99,0.21,98.7,568.69,326.68,143.31,Tarjeta,Devuelta
VTA0000117,VTA0000117-01,20250709,2025-07-09 00:00:00,USR_NO_REG,ART000276,CAN002,SIN_PROMO,1,839.99,0.0,0.0,839.99,839.99,839.99,0.21,176.4,1016.39,590.19,249.8,Tarjeta,Completada
